Model,Brand,Price,Max power,Max torque,Cooling System,Transmission,Transmission type,displacement,cylinders,Fuel Tank Capacity,Mileage,Top speed,Kerb weight,Location,Kilometer Driven,Seller Type,ground clearance,seat height
Hero Maestro Edge 110,Hero,70899,8.04,8.7,air cooled,automatic,cvt,110.9,1,5,40,80,112,Salem,20000,Dealer,155,775
Pulsar,Bajaj,82712,11.64,10.8,air cooled,5 speed manual,chain drive,124.4,1,11.5,50,100,140,Tirupur,4600,Dealer,165,790
Pulsar,Bajaj,105884,13.8,13.25,air cooled,5 speed manual,chain drive,149.5,1,15,47.5,110,148,Erode,81000,Dealer,165,785
Pulsar,Bajaj,123006,15.68,14.65,oil cooled,5 speed manual,chain drive,164.82,1,14,45,120,152,Krishnagiri,8000,Dealer,165,795
Pulsar,Bajaj,171256,24.1,18.7,liquid cooled,6 speed manual,chain drive,199.5,1,13,35,140.8,166,Coimbatore,55000,Dealer,157,810
Pulsar,Bajaj,105597,11.8,11,air cooled,5 speed manual,chain drive,124.45,1,12,49.5,103,144,Chennai,57000,Dealer,179,805
Platina,Bajaj,52734,7.9,8.34,air cooled,4 speed manual,chain drive,102,1,11,73.5,90,117,Madurai,26000,Dealer,200,807
Pulsar,Bajaj,142055,24.13,18.74,liquid cooled,6 speed manual,chain drive,199.5,1,12,36,125,159.5,Trichy,13000,Dealer,168,805
Pulsar,Bajaj,124604,17.03,14.6,oil cooled,5 speed manual,chain drive,160.3,1,12,41,120,151,Kanyakumari,29000,Dealer,176,805
Bajaj Dominar 400,Bajaj,222744,39.42,35,liquid cooled,6 speed manual,chain drive,373.3,1,13,29,155,193,Salem,43000,Dealer,157,800
Bajaj Dominar 250,Bajaj,175054,26.63,23.5,liquid cooled,6 speed manual,chain drive,248.8,1,13,32,132,180,Tirupur,40000,Dealer,157,800
Platina,Bajaj,67659,8.44,9.81,air cooled,5 speed manual,chain drive,115.45,1,11,70,90,119,Erode,40000,Dealer,200,807
Pulsar,Bajaj,144285,24.1,21.5,oil cooled,5 speed manual,chain drive,249,1,14,35,132,162,Krishnagiri,24000,Dealer,165,795
Bajaj CT 110,Bajaj,59041,8.48,9.81,air cooled,4 speed manual,chain drive,115.45,1,10.5,70,90,118,Coimbatore,3000,Dealer,170,810
Bajaj CT 125X,Bajaj,72023,10.7,11,air cooled,5 speed manual,chain drive,124.4,1,11,nan,95,130,Chennai,75000,Dealer,170,810
Avenger,Bajaj,112562,14.79,13.7,air cooled,5 speed manual,chain drive,160,1,13,45,105,156,Madurai,42000,Dealer,169,737
Pulsar,Bajaj,144449,24.1,21.5,oil cooled,5 speed manual,chain drive,249,1,14,37.5,132,164,Trichy,13000,Dealer,165,795
Avenger,Bajaj,138999,18.4,17.55,oil cooled,5 speed manual,chain drive,220,1,13,40,120,163,Kanyakumari,55000,Dealer,169,737
Honda SP 125,Honda,83086,10.72,10.9,air cooled,5 speed manual,chain drive,124,1,11,65,100,116,Salem,23000,Dealer,160,790
Activa,Honda,73663,7.68,8.84,air cooled,automatic,cvt,109.51,1,5.3,47,85,106,Tirupur,24000,Dealer,162,692
Honda Shine,Honda,78000,10.59,11,air cooled,5 speed manual,chain drive,123.94,1,10.5,55,102,114,Erode,80000,Dealer,162,791
Honda Unicorn,Honda,104982,12.73,14,air cooled,5 speed manual,chain drive,162.7,1,13,50,106,140,Krishnagiri,39000,Dealer,187,798
Honda Dio,Honda,71502,7.65,9,fan cooled,automatic,cvt,109.51,1,5.3,48,83,105,Coimbatore,20000,Dealer,160,650
